education_level,study_time,sleep_hours,screen_time,gender
High School,3,7.8,3.8,Female
High School,2.36,7.1,5,Male
High School,3.15,6.8,5.1,Other
High School,4.02,8.1,4.5,Male
High School,2.27,8.5,5.3,Female
High School,2.27,8.4,6,Female
High School,4.08,6.7,7.8,Other
High School,3.27,7.2,5.7,Female
High School,2.03,7.8,5.8,Male
High School,3.04,8.5,5.4,Other
High School,2.04,7,3.2,Male
High School,2.03,7.3,5.5,Male
High School,2.74,6.4,5.6,Female
High School,0.59,6.3,8.5,Female
High School,0.78,8.3,5.3,Female
High School,1.94,8.9,5.9,Female
High School,1.49,7.4,5.5,Female
High School,2.81,8.5,4.1,Other
High School,1.59,7.9,6.9,Male
High School,1.09,6.9,6.4,Male
High School,3.97,7.9,6.4,Male
High School,2.27,9,4.4,Male
High School,2.57,7.5,7.2,Female
High School,1.08,9.1,3.8,Male
High School,1.96,4.9,6.2,Other
High School,2.61,8.3,8.1,Other
High School,1.35,7.6,4.3,Male
High School,2.88,7.2,4.8,Male
High School,1.9,7.6,5.6,Other
High School,2.21,5.5,4.9,Other
High School,1.9,7.3,3.6,Female
High School,4.35,7.9,5.6,Other
High School,2.49,9,4.2,Female
High School,1.44,7,6.1,Female
High School,3.32,6.7,4.4,Female
High School,1.28,7,7.4,Female
High School,2.71,8.4,4.6,Female
High School,0.54,7.8,5.1,Male
High School,1.17,7,6.5,Other
High School,2.7,8,4,Female
High School,3.24,7.6,5.8,Other
High School,2.67,8.5,7.1,Other
High School,2.38,6.8,3.6,Female
High School,2.2,7.2,5.7,Male
High School,1.02,7.1,5.8,Female
High School,1.78,6,6.4,Male
High School,2.04,7.8,4,Other
High School,3.56,7.8,3.9,Male
High School,2.84,7.5,6.1,Male
High School,0.74,7.3,5.9,Male
College,6.84,8.5,6.7,Female
College,3.46,6.1,5.9,Male
College,3.49,6.7,8.3,Female
College,3.73,6.3,4.6,Other
College,4.23,8.4,8.8,Female
College,3.08,6.4,5,Female
College,4.23,6.1,4.6,Male
College,1.17,6.2,5.3,Male
College,3.9,6.7,9.4,Male
College,3.56,6,6.4,Female
College,3.24,6.4,7.3,Other
College,2.93,7,6.2,Male
College,2.77,6.7,6.4,Male
College,2.52,7.6,5.7,Female
College,0.72,6.5,6.6,Male
College,3.18,6.6,7.2,Other
College,4.82,7.1,9,Other
College,3.1,9,3.7,Male
College,4.26,6,8.9,Male
College,2.2,8.7,7.3,Female
College,1.93,5.6,5.9,Other
College,2.6,7,5.7,Other
College,2.27,6.5,8.1,Male
College,2.08,6,6.8,Female
College,4.04,7.5,4.2,Other
College,5.63,7.4,7,Other
College,2.7,6.3,8.2,Female
College,1.47,4.7,7.8,Female
College,4.29,6.4,5.6,Other
College,1.78,6.9,4.5,Other
College,2.08,6.8,6,Female
College,4.09,7.6,11.4,Other
College,3.3,8.7,4.2,Male
College,2.68,7.2,5.2,Male
College,3.58,7.4,7.1,Female
College,3.01,6.9,6.3,Female
College,5.77,8,6.2,Female
College,2.69,7.3,9.5,Male
College,2.4,7.5,5.2,Other
College,2.95,8.6,6.5,Male
College,3,7,6.8,Other
College,4.21,6.5,5.3,Male
College,1.11,7.2,4.3,Other
College,4.01,7.9,6.9,Male
College,2.85,7.3,9.2,Female
College,4.43,7.9,7.1,Male
College,3.44,6.1,6.6,Other
College,4.12,5.9,6.6,Male
College,3.03,6.3,6.1,Male
College,4.03,5.5,8.3,Male
